    ;round ;last_winning_bid ;last_winning_bidders   ;auction_round ;last_winning_miner ;last_mining_payoff ;base_reward ;SpongeBob ;PassiveLauncher ;AlwaysLauncher ;AggressiveLauncher ;Manu ;Observer ;Evie
0   ;1     ;0                ;[]                     ;1             ;                   ;                   ;14          ;995       ;995             ;995            ;995                ;995  ;995      ;995
1   ;2     ;14               ;['SpongeBob']          ;1             ;AlwaysLauncher     ;25                 ;6           ;976       ;985             ;1010           ;985                ;985  ;990      ;985
2   ;3     ;28               ;['AggressiveLauncher'] ;1             ;AggressiveLauncher ;17                 ;23          ;966       ;975             ;1000           ;964                ;975  ;985      ;975
3   ;4     ;56               ;['AggressiveLauncher'] ;1             ;Mission failure    ;35                 ;7           ;961       ;965             ;990            ;898                ;965  ;980      ;965
4   ;5     ;112              ;['AggressiveLauncher'] ;1             ;AggressiveLauncher ;58                 ;7           ;951       ;955             ;980            ;834                ;955  ;975      ;955
5   ;6     ;224              ;['AggressiveLauncher'] ;1             ;Mission failure    ;38                 ;24          ;946       ;945             ;970            ;600                ;945  ;970      ;945
6   ;7     ;448              ;['AggressiveLauncher'] ;1             ;Evie               ;30                 ;6           ;941       ;935             ;960            ;142                ;935  ;965      ;965
7   ;8     ;447              ;['PassiveLauncher']    ;1             ;SpongeBob          ;21                 ;43          ;952       ;478             ;950            ;132                ;925  ;960      ;955
8   ;9     ;446              ;['PassiveLauncher']    ;1             ;Manu               ;66                 ;10          ;947       ;22              ;940            ;122                ;981  ;955      ;945
9   ;10    ;122              ;['AggressiveLauncher'] ;1             ;AlwaysLauncher     ;21                 ;9           ;942       ;12              ;951            ;-10                ;971  ;950      ;935
10  ;11    ;12               ;['PassiveLauncher']    ;1             ;Manu               ;20                 ;23          ;932       ;-10             ;941            ;-10                ;981  ;945      ;925
11  ;12    ;23               ;['SpongeBob']          ;1             ;AlwaysLauncher     ;33                 ;22          ;904       ;-10             ;964            ;-10                ;971  ;940      ;915
12  ;13    ;22               ;['SpongeBob']          ;1             ;SpongeBob          ;31                 ;20          ;903       ;-10             ;954            ;-10                ;961  ;935      ;905
13  ;14    ;20               ;['SpongeBob']          ;1             ;AlwaysLauncher     ;54                 ;11          ;878       ;-10             ;998            ;-10                ;951  ;930      ;895
14  ;15    ;11               ;['SpongeBob']          ;1             ;AlwaysLauncher     ;42                 ;4           ;857       ;-10             ;1030           ;-10                ;941  ;925      ;890
15  ;16    ;4                ;['SpongeBob', 'Manu']  ;1             ;Evie               ;13                 ;2           ;848       ;-10             ;1020           ;-10                ;927  ;920      ;893
16  ;17    ;4                ;['Manu']               ;1             ;Manu               ;25                 ;1           ;838       ;-10             ;1010           ;-10                ;938  ;915      ;883
17  ;18    ;4                ;['Manu']               ;1             ;Manu               ;169                ;3           ;833       ;-10             ;1000           ;-10                ;1093 ;910      ;878
18  ;19    ;4                ;['Manu']               ;1             ;Manu               ;8                  ;23          ;828       ;-10             ;990            ;-10                ;1087 ;905      ;868
19  ;20    ;23               ;['SpongeBob']          ;1             ;SpongeBob          ;45                 ;1           ;840       ;-10             ;980            ;-10                ;1077 ;900      ;858
20  ;21    ;4                ;['Manu']               ;1             ;Manu               ;17                 ;6           ;835       ;-10             ;970            ;-10                ;1080 ;895      ;848
21  ;22    ;6                ;['SpongeBob']          ;1             ;AlwaysLauncher     ;10                 ;2           ;824       ;-10             ;970            ;-10                ;1070 ;890      ;843
22  ;23    ;4                ;['Manu']               ;1             ;Manu               ;14                 ;10          ;814       ;-10             ;960            ;-10                ;1070 ;885      ;833
23  ;24    ;10               ;['SpongeBob']          ;1             ;Evie               ;37                 ;46          ;799       ;-10             ;950            ;-10                ;1060 ;880      ;860
24  ;25    ;46               ;['SpongeBob']          ;1             ;Manu               ;57                 ;4           ;743       ;-10             ;940            ;-10                ;1107 ;875      ;850
25  ;26    ;4                ;['SpongeBob', 'Manu']  ;1             ;SpongeBob          ;28                 ;13          ;757       ;-10             ;930            ;-10                ;1093 ;870      ;840
26  ;27    ;13               ;['SpongeBob']          ;1             ;Manu               ;65                 ;5           ;739       ;-10             ;920            ;-10                ;1148 ;865      ;830
27  ;28    ;5                ;['SpongeBob']          ;1             ;AlwaysLauncher     ;22                 ;6           ;729       ;-10             ;932            ;-10                ;1138 ;860      ;820
28  ;29    ;6                ;['SpongeBob']          ;1             ;SpongeBob          ;17                 ;9           ;730       ;-10             ;922            ;-10                ;1128 ;855      ;810
29  ;30    ;9                ;['SpongeBob']          ;1             ;Manu               ;27                 ;6           ;716       ;-10             ;912            ;-10                ;1145 ;850      ;800
30  ;31    ;6                ;['SpongeBob']          ;1             ;Evie               ;22                 ;3           ;705       ;-10             ;902            ;-10                ;1135 ;845      ;812
31  ;32    ;4                ;['Manu']               ;1             ;Evie               ;17                 ;8           ;695       ;-10             ;892            ;-10                ;1121 ;840      ;819
32  ;33    ;8                ;['SpongeBob']          ;1             ;AlwaysLauncher     ;12                 ;5           ;682       ;-10             ;894            ;-10                ;1111 ;835      ;809
33  ;34    ;5                ;['SpongeBob']          ;1             ;Manu               ;28                 ;12          ;672       ;-10             ;884            ;-10                ;1129 ;830      ;799
34  ;35    ;12               ;['SpongeBob']          ;1             ;Manu               ;44                 ;59          ;650       ;-10             ;874            ;-10                ;1163 ;825      ;789
35  ;36    ;59               ;['SpongeBob']          ;1             ;Mission failure    ;72                 ;9           ;581       ;-10             ;864            ;-10                ;1153 ;820      ;779
36  ;37    ;9                ;['SpongeBob']          ;1             ;AlwaysLauncher     ;20                 ;1           ;567       ;-10             ;874            ;-10                ;1143 ;815      ;769
37  ;38    ;4                ;['Manu']               ;1             ;AlwaysLauncher     ;15                 ;14          ;562       ;-10             ;879            ;-10                ;1129 ;810      ;764
38  ;39    ;14               ;['SpongeBob']          ;1             ;AlwaysLauncher     ;27                 ;4           ;543       ;-10             ;896            ;-10                ;1119 ;805      ;759
39  ;40    ;4                ;['SpongeBob', 'Manu']  ;1             ;SpongeBob          ;37                 ;4           ;566       ;-10             ;886            ;-10                ;1105 ;800      ;749
40  ;41    ;4                ;['SpongeBob', 'Manu']  ;1             ;AlwaysLauncher     ;12                 ;1           ;557       ;-10             ;888            ;-10                ;1091 ;795      ;739
41  ;42    ;4                ;['Manu']               ;1             ;SpongeBob          ;12                 ;10          ;559       ;-10             ;878            ;-10                ;1077 ;790      ;729
42  ;43    ;10               ;['SpongeBob']          ;1             ;AlwaysLauncher     ;14                 ;4           ;544       ;-10             ;882            ;-10                ;1067 ;785      ;719
43  ;44    ;4                ;['SpongeBob', 'Manu']  ;1             ;Manu               ;13                 ;10          ;535       ;-10             ;872            ;-10                ;1066 ;780      ;709
44  ;45    ;10               ;['SpongeBob']          ;1             ;Manu               ;56                 ;2           ;515       ;-10             ;862            ;-10                ;1112 ;775      ;699
45  ;46    ;4                ;['Manu']               ;1             ;AlwaysLauncher     ;19                 ;2           ;510       ;-10             ;871            ;-10                ;1098 ;770      ;689
46  ;47    ;4                ;['Manu']               ;1             ;SpongeBob          ;19                 ;10          ;519       ;-10             ;861            ;-10                ;1084 ;765      ;679
47  ;48    ;10               ;['SpongeBob']          ;1             ;SpongeBob          ;25                 ;13          ;524       ;-10             ;851            ;-10                ;1074 ;760      ;669
48  ;49    ;13               ;['SpongeBob']          ;1             ;Mission failure    ;21                 ;43          ;506       ;-10             ;841            ;-10                ;1064 ;755      ;664
49  ;50    ;43               ;['SpongeBob']          ;1             ;Evie               ;55                 ;52          ;453       ;-10             ;831            ;-10                ;1054 ;750      ;709
50  ;51    ;52               ;['SpongeBob']          ;1             ;Evie               ;62                 ;21          ;396       ;-10             ;821            ;-10                ;1044 ;745      ;761
51  ;52    ;21               ;['SpongeBob']          ;1             ;Manu               ;32                 ;1           ;365       ;-10             ;811            ;-10                ;1066 ;740      ;751
52  ;53    ;4                ;['Manu']               ;1             ;Evie               ;10                 ;0           ;360       ;-10             ;801            ;-10                ;1052 ;735      ;751
53  ;54    ;4                ;['Manu']               ;1             ;AlwaysLauncher     ;23                 ;11          ;350       ;-10             ;814            ;-10                ;1038 ;730      ;741
54  ;55    ;11               ;['SpongeBob']          ;1             ;Evie               ;18                 ;11          ;334       ;-10             ;804            ;-10                ;1028 ;725      ;749
55  ;56    ;11               ;['SpongeBob']          ;1             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;1018 ;720      ;739
56  ;56    ;4                ;['Manu']               ;2             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;1014 ;720      ;739
57  ;56    ;4                ;['Manu']               ;3             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;1010 ;720      ;739
58  ;56    ;4                ;['Manu']               ;4             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;1006 ;720      ;739
59  ;56    ;4                ;['Manu']               ;5             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;1002 ;720      ;739
60  ;56    ;4                ;['Manu']               ;6             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;998  ;720      ;739
61  ;56    ;4                ;['Manu']               ;7             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;994  ;720      ;739
62  ;56    ;4                ;['Manu']               ;8             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;990  ;720      ;739
63  ;56    ;4                ;['Manu']               ;9             ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;986  ;720      ;739
64  ;56    ;4                ;['Manu']               ;10            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;982  ;720      ;739
65  ;56    ;4                ;['Manu']               ;11            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;978  ;720      ;739
66  ;56    ;4                ;['Manu']               ;12            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;974  ;720      ;739
67  ;56    ;4                ;['Manu']               ;13            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;970  ;720      ;739
68  ;56    ;4                ;['Manu']               ;14            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;966  ;720      ;739
69  ;56    ;4                ;['Manu']               ;15            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;962  ;720      ;739
70  ;56    ;4                ;['Manu']               ;16            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;958  ;720      ;739
71  ;56    ;4                ;['Manu']               ;17            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;954  ;720      ;739
72  ;56    ;4                ;['Manu']               ;18            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;950  ;720      ;739
73  ;56    ;4                ;['Manu']               ;19            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;946  ;720      ;739
74  ;56    ;4                ;['Manu']               ;20            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;942  ;720      ;739
75  ;56    ;4                ;['Manu']               ;21            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;938  ;720      ;739
76  ;56    ;4                ;['Manu']               ;22            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;934  ;720      ;739
77  ;56    ;4                ;['Manu']               ;23            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;930  ;720      ;739
78  ;56    ;4                ;['Manu']               ;24            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;926  ;720      ;739
79  ;56    ;4                ;['Manu']               ;25            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;922  ;720      ;739
80  ;56    ;4                ;['Manu']               ;26            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;918  ;720      ;739
81  ;56    ;4                ;['Manu']               ;27            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;914  ;720      ;739
82  ;56    ;4                ;['Manu']               ;28            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;910  ;720      ;739
83  ;56    ;4                ;['Manu']               ;29            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;906  ;720      ;739
84  ;56    ;4                ;['Manu']               ;30            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;902  ;720      ;739
85  ;56    ;4                ;['Manu']               ;31            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;898  ;720      ;739
86  ;56    ;4                ;['Manu']               ;32            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;894  ;720      ;739
87  ;56    ;4                ;['Manu']               ;33            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;890  ;720      ;739
88  ;56    ;4                ;['Manu']               ;34            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;886  ;720      ;739
89  ;56    ;4                ;['Manu']               ;35            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;882  ;720      ;739
90  ;56    ;4                ;['Manu']               ;36            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;878  ;720      ;739
91  ;56    ;4                ;['Manu']               ;37            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;874  ;720      ;739
92  ;56    ;4                ;['Manu']               ;38            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;870  ;720      ;739
93  ;56    ;4                ;['Manu']               ;39            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;866  ;720      ;739
94  ;56    ;4                ;['Manu']               ;40            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;862  ;720      ;739
95  ;56    ;4                ;['Manu']               ;41            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;858  ;720      ;739
96  ;56    ;4                ;['Manu']               ;42            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;854  ;720      ;739
97  ;56    ;4                ;['Manu']               ;43            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;850  ;720      ;739
98  ;56    ;4                ;['Manu']               ;44            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;846  ;720      ;739
99  ;56    ;4                ;['Manu']               ;45            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;842  ;720      ;739
100 ;56    ;4                ;['Manu']               ;46            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;838  ;720      ;739
101 ;56    ;4                ;['Manu']               ;47            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;834  ;720      ;739
102 ;56    ;4                ;['Manu']               ;48            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;830  ;720      ;739
103 ;56    ;4                ;['Manu']               ;49            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;826  ;720      ;739
104 ;56    ;4                ;['Manu']               ;50            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;822  ;720      ;739
105 ;56    ;4                ;['Manu']               ;51            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;818  ;720      ;739
106 ;56    ;4                ;['Manu']               ;52            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;814  ;720      ;739
107 ;56    ;4                ;['Manu']               ;53            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;810  ;720      ;739
108 ;56    ;4                ;['Manu']               ;54            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;806  ;720      ;739
109 ;56    ;4                ;['Manu']               ;55            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;802  ;720      ;739
110 ;56    ;4                ;['Manu']               ;56            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;798  ;720      ;739
111 ;56    ;4                ;['Manu']               ;57            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;794  ;720      ;739
112 ;56    ;4                ;['Manu']               ;58            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;790  ;720      ;739
113 ;56    ;4                ;['Manu']               ;59            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;786  ;720      ;739
114 ;56    ;4                ;['Manu']               ;60            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;782  ;720      ;739
115 ;56    ;4                ;['Manu']               ;61            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;778  ;720      ;739
116 ;56    ;4                ;['Manu']               ;62            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;774  ;720      ;739
117 ;56    ;4                ;['Manu']               ;63            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;770  ;720      ;739
118 ;56    ;4                ;['Manu']               ;64            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;766  ;720      ;739
119 ;56    ;4                ;['Manu']               ;65            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;762  ;720      ;739
120 ;56    ;4                ;['Manu']               ;66            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;758  ;720      ;739
121 ;56    ;4                ;['Manu']               ;67            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;754  ;720      ;739
122 ;56    ;4                ;['Manu']               ;68            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;750  ;720      ;739
123 ;56    ;4                ;['Manu']               ;69            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;746  ;720      ;739
124 ;56    ;4                ;['Manu']               ;70            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;742  ;720      ;739
125 ;56    ;4                ;['Manu']               ;71            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;738  ;720      ;739
126 ;56    ;4                ;['Manu']               ;72            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;734  ;720      ;739
127 ;56    ;4                ;['Manu']               ;73            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;730  ;720      ;739
128 ;56    ;4                ;['Manu']               ;74            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;726  ;720      ;739
129 ;56    ;4                ;['Manu']               ;75            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;722  ;720      ;739
130 ;56    ;4                ;['Manu']               ;76            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;718  ;720      ;739
131 ;56    ;4                ;['Manu']               ;77            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;714  ;720      ;739
132 ;56    ;4                ;['Manu']               ;78            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;710  ;720      ;739
133 ;56    ;4                ;['Manu']               ;79            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;706  ;720      ;739
134 ;56    ;4                ;['Manu']               ;80            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;702  ;720      ;739
135 ;56    ;4                ;['Manu']               ;81            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;698  ;720      ;739
136 ;56    ;4                ;['Manu']               ;82            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;694  ;720      ;739
137 ;56    ;4                ;['Manu']               ;83            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;690  ;720      ;739
138 ;56    ;4                ;['Manu']               ;84            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;686  ;720      ;739
139 ;56    ;4                ;['Manu']               ;85            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;682  ;720      ;739
140 ;56    ;4                ;['Manu']               ;86            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;678  ;720      ;739
141 ;56    ;4                ;['Manu']               ;87            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;674  ;720      ;739
142 ;56    ;4                ;['Manu']               ;88            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;670  ;720      ;739
143 ;56    ;4                ;['Manu']               ;89            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;666  ;720      ;739
144 ;56    ;4                ;['Manu']               ;90            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;662  ;720      ;739
145 ;56    ;4                ;['Manu']               ;91            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;658  ;720      ;739
146 ;56    ;4                ;['Manu']               ;92            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;654  ;720      ;739
147 ;56    ;4                ;['Manu']               ;93            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;650  ;720      ;739
148 ;56    ;4                ;['Manu']               ;94            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;646  ;720      ;739
149 ;56    ;4                ;['Manu']               ;95            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;642  ;720      ;739
150 ;56    ;4                ;['Manu']               ;96            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;638  ;720      ;739
151 ;56    ;4                ;['Manu']               ;97            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;634  ;720      ;739
152 ;56    ;4                ;['Manu']               ;98            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;630  ;720      ;739
153 ;56    ;4                ;['Manu']               ;99            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;626  ;720      ;739
