    ;round ;last_winning_bid ;last_winning_bidders   ;auction_round ;last_winning_miner ;last_mining_payoff ;base_reward ;SpongeBob ;PassiveLauncher ;AlwaysLauncher ;AggressiveLauncher ;Manu ;Observer ;Evie
154 ;56    ;4                ;['Manu']               ;100           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;622  ;720      ;739
155 ;56    ;4                ;['Manu']               ;101           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;618  ;720      ;739
156 ;56    ;4                ;['Manu']               ;102           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;614  ;720      ;739
157 ;56    ;4                ;['Manu']               ;103           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;610  ;720      ;739
158 ;56    ;4                ;['Manu']               ;104           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;606  ;720      ;739
159 ;56    ;4                ;['Manu']               ;105           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;602  ;720      ;739
160 ;56    ;4                ;['Manu']               ;106           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;598  ;720      ;739
161 ;56    ;4                ;['Manu']               ;107           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;594  ;720      ;739
162 ;56    ;4                ;['Manu']               ;108           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;590  ;720      ;739
163 ;56    ;4                ;['Manu']               ;109           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;586  ;720      ;739
164 ;56    ;4                ;['Manu']               ;110           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;582  ;720      ;739
165 ;56    ;4                ;['Manu']               ;111           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;578  ;720      ;739
166 ;56    ;4                ;['Manu']               ;112           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;574  ;720      ;739
167 ;56    ;4                ;['Manu']               ;113           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;570  ;720      ;739
168 ;56    ;4                ;['Manu']               ;114           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;566  ;720      ;739
169 ;56    ;4                ;['Manu']               ;115           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;562  ;720      ;739
170 ;56    ;4                ;['Manu']               ;116           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;558  ;720      ;739
171 ;56    ;4                ;['Manu']               ;117           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;554  ;720      ;739
172 ;56    ;4                ;['Manu']               ;118           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;550  ;720      ;739
173 ;56    ;4                ;['Manu']               ;119           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;546  ;720      ;739
174 ;56    ;4                ;['Manu']               ;120           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;542  ;720      ;739
175 ;56    ;4                ;['Manu']               ;121           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;538  ;720      ;739
176 ;56    ;4                ;['Manu']               ;122           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;534  ;720      ;739
177 ;56    ;4                ;['Manu']               ;123           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;530  ;720      ;739
178 ;56    ;4                ;['Manu']               ;124           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;526  ;720      ;739
179 ;56    ;4                ;['Manu']               ;125           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;522  ;720      ;739
180 ;56    ;4                ;['Manu']               ;126           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;518  ;720      ;739
181 ;56    ;4                ;['Manu']               ;127           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;514  ;720      ;739
182 ;56    ;4                ;['Manu']               ;128           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;510  ;720      ;739
183 ;56    ;4                ;['Manu']               ;129           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;506  ;720      ;739
184 ;56    ;4                ;['Manu']               ;130           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;502  ;720      ;739
185 ;56    ;4                ;['Manu']               ;131           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;498  ;720      ;739
186 ;56    ;4                ;['Manu']               ;132           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;494  ;720      ;739
187 ;56    ;4                ;['Manu']               ;133           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;490  ;720      ;739
188 ;56    ;4                ;['Manu']               ;134           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;486  ;720      ;739
189 ;56    ;4                ;['Manu']               ;135           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;482  ;720      ;739
190 ;56    ;4                ;['Manu']               ;136           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;478  ;720      ;739
191 ;56    ;4                ;['Manu']               ;137           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;474  ;720      ;739
192 ;56    ;4                ;['Manu']               ;138           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;470  ;720      ;739
193 ;56    ;4                ;['Manu']               ;139           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;466  ;720      ;739
194 ;56    ;4                ;['Manu']               ;140           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;462  ;720      ;739
195 ;56    ;4                ;['Manu']               ;141           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;458  ;720      ;739
196 ;56    ;4                ;['Manu']               ;142           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;454  ;720      ;739
197 ;56    ;4                ;['Manu']               ;143           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;450  ;720      ;739
198 ;56    ;4                ;['Manu']               ;144           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;446  ;720      ;739
199 ;56    ;4                ;['Manu']               ;145           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;442  ;720      ;739
200 ;56    ;4                ;['Manu']               ;146           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;438  ;720      ;739
201 ;56    ;4                ;['Manu']               ;147           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;434  ;720      ;739
202 ;56    ;4                ;['Manu']               ;148           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;430  ;720      ;739
203 ;56    ;4                ;['Manu']               ;149           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;426  ;720      ;739
204 ;56    ;4                ;['Manu']               ;150           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;422  ;720      ;739
205 ;56    ;4                ;['Manu']               ;151           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;418  ;720      ;739
206 ;56    ;4                ;['Manu']               ;152           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;414  ;720      ;739
207 ;56    ;4                ;['Manu']               ;153           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;410  ;720      ;739
208 ;56    ;4                ;['Manu']               ;154           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;406  ;720      ;739
209 ;56    ;4                ;['Manu']               ;155           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;402  ;720      ;739
210 ;56    ;4                ;['Manu']               ;156           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;398  ;720      ;739
211 ;56    ;4                ;['Manu']               ;157           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;394  ;720      ;739
212 ;56    ;4                ;['Manu']               ;158           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;390  ;720      ;739
213 ;56    ;4                ;['Manu']               ;159           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;386  ;720      ;739
214 ;56    ;4                ;['Manu']               ;160           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;382  ;720      ;739
215 ;56    ;4                ;['Manu']               ;161           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;378  ;720      ;739
216 ;56    ;4                ;['Manu']               ;162           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;374  ;720      ;739
217 ;56    ;4                ;['Manu']               ;163           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;370  ;720      ;739
218 ;56    ;4                ;['Manu']               ;164           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;366  ;720      ;739
219 ;56    ;4                ;['Manu']               ;165           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;362  ;720      ;739
220 ;56    ;4                ;['Manu']               ;166           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;358  ;720      ;739
221 ;56    ;4                ;['Manu']               ;167           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;354  ;720      ;739
222 ;56    ;4                ;['Manu']               ;168           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;350  ;720      ;739
223 ;56    ;4                ;['Manu']               ;169           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;346  ;720      ;739
224 ;56    ;4                ;['Manu']               ;170           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;342  ;720      ;739
225 ;56    ;4                ;['Manu']               ;171           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;338  ;720      ;739
226 ;56    ;4                ;['Manu']               ;172           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;334  ;720      ;739
227 ;56    ;4                ;['Manu']               ;173           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;330  ;720      ;739
228 ;56    ;4                ;['Manu']               ;174           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;326  ;720      ;739
229 ;56    ;4                ;['Manu']               ;175           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;322  ;720      ;739
230 ;56    ;4                ;['Manu']               ;176           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;318  ;720      ;739
231 ;56    ;4                ;['Manu']               ;177           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;314  ;720      ;739
232 ;56    ;4                ;['Manu']               ;178           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;310  ;720      ;739
233 ;56    ;4                ;['Manu']               ;179           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;306  ;720      ;739
234 ;56    ;4                ;['Manu']               ;180           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;302  ;720      ;739
235 ;56    ;4                ;['Manu']               ;181           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;298  ;720      ;739
236 ;56    ;4                ;['Manu']               ;182           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;294  ;720      ;739
237 ;56    ;4                ;['Manu']               ;183           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;290  ;720      ;739
238 ;56    ;4                ;['Manu']               ;184           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;286  ;720      ;739
239 ;56    ;4                ;['Manu']               ;185           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;282  ;720      ;739
240 ;56    ;4                ;['Manu']               ;186           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;278  ;720      ;739
241 ;56    ;4                ;['Manu']               ;187           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;274  ;720      ;739
242 ;56    ;4                ;['Manu']               ;188           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;270  ;720      ;739
243 ;56    ;4                ;['Manu']               ;189           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;266  ;720      ;739
244 ;56    ;4                ;['Manu']               ;190           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;262  ;720      ;739
245 ;56    ;4                ;['Manu']               ;191           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;258  ;720      ;739
246 ;56    ;4                ;['Manu']               ;192           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;254  ;720      ;739
247 ;56    ;4                ;['Manu']               ;193           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;250  ;720      ;739
248 ;56    ;4                ;['Manu']               ;194           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;246  ;720      ;739
249 ;56    ;4                ;['Manu']               ;195           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;242  ;720      ;739
250 ;56    ;4                ;['Manu']               ;196           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;238  ;720      ;739
251 ;56    ;4                ;['Manu']               ;197           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;234  ;720      ;739
252 ;56    ;4                ;['Manu']               ;198           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;230  ;720      ;739
253 ;56    ;4                ;['Manu']               ;199           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;226  ;720      ;739
254 ;56    ;4                ;['Manu']               ;200           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;222  ;720      ;739
255 ;56    ;4                ;['Manu']               ;201           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;218  ;720      ;739
256 ;56    ;4                ;['Manu']               ;202           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;214  ;720      ;739
257 ;56    ;4                ;['Manu']               ;203           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;210  ;720      ;739
258 ;56    ;4                ;['Manu']               ;204           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;206  ;720      ;739
259 ;56    ;4                ;['Manu']               ;205           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;202  ;720      ;739
260 ;56    ;4                ;['Manu']               ;206           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;198  ;720      ;739
261 ;56    ;4                ;['Manu']               ;207           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;194  ;720      ;739
262 ;56    ;4                ;['Manu']               ;208           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;190  ;720      ;739
263 ;56    ;4                ;['Manu']               ;209           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;186  ;720      ;739
264 ;56    ;4                ;['Manu']               ;210           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;182  ;720      ;739
265 ;56    ;4                ;['Manu']               ;211           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;178  ;720      ;739
266 ;56    ;4                ;['Manu']               ;212           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;174  ;720      ;739
267 ;56    ;4                ;['Manu']               ;213           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;170  ;720      ;739
268 ;56    ;4                ;['Manu']               ;214           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;166  ;720      ;739
269 ;56    ;4                ;['Manu']               ;215           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;162  ;720      ;739
270 ;56    ;4                ;['Manu']               ;216           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;158  ;720      ;739
271 ;56    ;4                ;['Manu']               ;217           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;154  ;720      ;739
272 ;56    ;4                ;['Manu']               ;218           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;150  ;720      ;739
273 ;56    ;4                ;['Manu']               ;219           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;146  ;720      ;739
274 ;56    ;4                ;['Manu']               ;220           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;142  ;720      ;739
275 ;56    ;4                ;['Manu']               ;221           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;138  ;720      ;739
276 ;56    ;4                ;['Manu']               ;222           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;134  ;720      ;739
277 ;56    ;4                ;['Manu']               ;223           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;130  ;720      ;739
278 ;56    ;4                ;['Manu']               ;224           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;126  ;720      ;739
279 ;56    ;4                ;['Manu']               ;225           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;122  ;720      ;739
280 ;56    ;4                ;['Manu']               ;226           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;118  ;720      ;739
281 ;56    ;4                ;['Manu']               ;227           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;114  ;720      ;739
282 ;56    ;4                ;['Manu']               ;228           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;110  ;720      ;739
283 ;56    ;4                ;['Manu']               ;229           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;106  ;720      ;739
284 ;56    ;4                ;['Manu']               ;230           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;102  ;720      ;739
285 ;56    ;4                ;['Manu']               ;231           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;98   ;720      ;739
286 ;56    ;4                ;['Manu']               ;232           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;94   ;720      ;739
287 ;56    ;4                ;['Manu']               ;233           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;90   ;720      ;739
288 ;56    ;4                ;['Manu']               ;234           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;86   ;720      ;739
289 ;56    ;4                ;['Manu']               ;235           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;82   ;720      ;739
290 ;56    ;4                ;['Manu']               ;236           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;78   ;720      ;739
291 ;56    ;4                ;['Manu']               ;237           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;74   ;720      ;739
292 ;56    ;4                ;['Manu']               ;238           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;70   ;720      ;739
293 ;56    ;4                ;['Manu']               ;239           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;66   ;720      ;739
294 ;56    ;4                ;['Manu']               ;240           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;62   ;720      ;739
295 ;56    ;4                ;['Manu']               ;241           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;58   ;720      ;739
296 ;56    ;4                ;['Manu']               ;242           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;54   ;720      ;739
297 ;56    ;4                ;['Manu']               ;243           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;50   ;720      ;739
298 ;56    ;4                ;['Manu']               ;244           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;46   ;720      ;739
299 ;56    ;4                ;['Manu']               ;245           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;42   ;720      ;739
300 ;56    ;4                ;['Manu']               ;246           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;38   ;720      ;739
301 ;56    ;4                ;['Manu']               ;247           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;34   ;720      ;739
302 ;56    ;4                ;['Manu']               ;248           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;30   ;720      ;739
303 ;56    ;4                ;['Manu']               ;249           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;26   ;720      ;739
304 ;56    ;4                ;['Manu']               ;250           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;22   ;720      ;739
305 ;56    ;4                ;['Manu']               ;251           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;18   ;720      ;739
306 ;56    ;4                ;['Manu']               ;252           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;14   ;720      ;739
307 ;56    ;4                ;['Manu']               ;253           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;10   ;720      ;739
308 ;56    ;4                ;['Manu']               ;254           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;6    ;720      ;739
309 ;56    ;4                ;['Manu']               ;255           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;2    ;720      ;739
